t,temp_c,hum,temp_roll,hum_roll,anomaly,anom_score
2025-08-13 15:32:20+08:00,25.7,51.3,,,1,-0.03546904045847121
2025-08-13 15:32:22+08:00,25.7,51.3,,,1,-0.03546904045847121
2025-08-13 15:32:24+08:00,25.7,51.3,,,1,-0.03546904045847121
2025-08-13 15:32:26+08:00,25.7,51.3,,,1,-0.03546904045847121
2025-08-13 15:32:28+08:00,25.7,51.3,,,1,-0.03546904045847121
2025-08-13 15:32:30+08:00,25.7,51.3,,,1,-0.03546904045847121
2025-08-13 15:32:32+08:00,25.7,51.2,,,1,-0.02820191504261549
2025-08-13 15:32:34+08:00,25.7,51.2,,,1,-0.02820191504261549
2025-08-13 15:32:36+08:00,25.7,51.2,,,1,-0.02820191504261549
2025-08-13 15:32:38+08:00,25.7,51.2,25.7,51.260000000000005,1,-0.02820191504261549
2025-08-13 15:32:40+08:00,25.7,51.1,25.7,51.24545454545455,1,-0.024862397499556987
2025-08-13 15:32:44+08:00,25.7,51.1,25.692307692307693,51.215384615384615,1,-0.024862397499556987
2025-08-13 15:36:24+08:00,25.4,49.0,25.419999999999998,49.40666666666666,1,-0.013462627444552067
2025-08-13 15:36:26+08:00,25.4,49.0,25.416666666666668,49.376666666666665,1,-0.013462627444552067
2025-08-13 15:36:28+08:00,25.4,49.0,25.413333333333334,49.346666666666664,1,-0.013462627444552067
2025-08-13 15:36:30+08:00,25.4,49.0,25.41,49.31666666666667,1,-0.013462627444552067
2025-08-13 15:36:32+08:00,25.4,49.0,25.41,49.28999999999999,1,-0.013462627444552067
2025-08-18 15:06:11+08:00,25.0,58.0,25.009999999999998,54.74,1,-0.003978947952413492
2025-08-18 15:16:57+08:00,24.0,49.4,24.09,49.71666666666667,1,-0.005914228959967516
2025-08-18 15:17:01+08:00,24.0,49.4,24.083333333333332,49.690000000000005,1,-0.005914228959967516
