t,temp_c,hum
2025-08-13 15:32:20+08:00,25.7,51.3
2025-08-13 15:32:22+08:00,25.7,51.3
2025-08-13 15:32:24+08:00,25.7,51.3
2025-08-13 15:32:26+08:00,25.7,51.3
2025-08-13 15:32:28+08:00,25.7,51.3
2025-08-13 15:32:30+08:00,25.7,51.3
2025-08-13 15:32:32+08:00,25.7,51.2
2025-08-13 15:32:34+08:00,25.7,51.2
2025-08-13 15:32:36+08:00,25.7,51.2
2025-08-13 15:32:38+08:00,25.7,51.2
2025-08-13 15:32:40+08:00,25.7,51.1
2025-08-13 15:32:42+08:00,25.6,51.0
2025-08-13 15:32:44+08:00,25.7,51.1
2025-08-13 15:32:46+08:00,25.6,51.0
2025-08-13 15:32:48+08:00,25.6,51.0
2025-08-13 15:32:50+08:00,25.6,51.0
2025-08-13 15:32:52+08:00,25.6,51.1
2025-08-13 15:32:54+08:00,25.6,51.1
2025-08-13 15:32:56+08:00,25.6,51.1
2025-08-13 15:32:58+08:00,25.6,51.1
2025-08-13 15:33:00+08:00,25.6,51.1
2025-08-13 15:33:02+08:00,25.6,51.1
2025-08-13 15:33:04+08:00,25.6,51.1
2025-08-13 15:33:06+08:00,25.6,51.1
2025-08-13 15:33:08+08:00,25.6,51.0
2025-08-13 15:33:10+08:00,25.6,51.0
2025-08-13 15:33:12+08:00,25.6,51.0
2025-08-13 15:33:14+08:00,25.6,51.0
2025-08-13 15:33:16+08:00,25.6,51.0
2025-08-13 15:33:18+08:00,25.6,50.9
2025-08-13 15:33:20+08:00,25.6,50.9
2025-08-13 15:33:22+08:00,25.6,50.9
2025-08-13 15:33:24+08:00,25.6,50.9
2025-08-13 15:33:26+08:00,25.6,50.9
2025-08-13 15:33:28+08:00,25.6,50.8
2025-08-13 15:33:30+08:00,25.6,50.8
2025-08-13 15:33:32+08:00,25.6,50.8
2025-08-13 15:33:34+08:00,25.6,50.7
2025-08-13 15:33:36+08:00,25.6,50.7
2025-08-13 15:33:38+08:00,25.6,50.7
2025-08-13 15:33:40+08:00,25.6,50.7
2025-08-13 15:33:42+08:00,25.6,50.7
2025-08-13 15:33:44+08:00,25.6,50.7
2025-08-13 15:33:46+08:00,25.6,50.6
2025-08-13 15:33:48+08:00,25.6,50.6
2025-08-13 15:33:50+08:00,25.5,50.5
2025-08-13 15:33:52+08:00,25.5,50.5
2025-08-13 15:33:54+08:00,25.5,50.5
2025-08-13 15:33:56+08:00,25.5,50.5
2025-08-13 15:33:58+08:00,25.5,50.5
2025-08-13 15:34:00+08:00,25.5,50.5
2025-08-13 15:34:02+08:00,25.5,50.5
2025-08-13 15:34:04+08:00,25.5,50.5
2025-08-13 15:34:06+08:00,25.5,50.5
2025-08-13 15:34:08+08:00,25.5,50.5
2025-08-13 15:34:10+08:00,25.5,50.5
2025-08-13 15:34:12+08:00,25.5,50.5
2025-08-13 15:34:14+08:00,25.5,50.5
2025-08-13 15:34:16+08:00,25.5,50.4
2025-08-13 15:34:18+08:00,25.5,50.4
2025-08-13 15:34:20+08:00,25.5,50.4
2025-08-13 15:34:22+08:00,25.5,50.4
2025-08-13 15:34:24+08:00,25.5,50.4
2025-08-13 15:34:26+08:00,25.5,50.3
2025-08-13 15:34:28+08:00,25.5,50.3
2025-08-13 15:34:30+08:00,25.5,50.3
2025-08-13 15:34:32+08:00,25.5,50.2
